MolWt,NumValenceElectrons,BalabanJ,BertzCT,NumHAcceptors,NumHDonors
174.284,74.0,2.901852426069751,83.9077646698008,2.0,2.0
188.31099999999998,80.0,2.9749773012532676,94.09106854813169,2.0,2.0
244.41899999999995,104.0,2.9813811333652946,136.883509367128,2.0,2.0
174.284,74.0,2.72724281291869,64.2388309575275,2.0,1.0
262.38999999999993,110.0,2.862306209193584,125.75568111715516,4.0,1.0
350.49600000000015,146.0,2.930960289426317,193.68566620706025,6.0,1.0
394.54900000000026,164.0,2.9540148394146155,230.4847256949994,7.0,1.0
334.4970000000001,140.0,2.9219621943934726,181.8509662456208,5.0,1.0
378.55000000000024,158.0,2.94691201256248,216.34129580420978,6.0,1.0
422.60300000000035,176.0,2.9667713115344823,253.88639391110314,7.0,1.0
510.7090000000006,212.0,2.9963942128844434,329.71415978608263,9.0,1.0
524.7360000000006,218.0,3.000382126868542,341.1534856855519,9.0,1.0
274.44499999999994,116.0,2.8766966445353965,134.9294718557762,3.0,1.0
318.49800000000005,134.0,2.9121609469850025,167.9259693795534,4.0,1.0
362.55100000000016,152.0,2.939250071405689,204.13205235080667,5.0,1.0
406.60400000000027,170.0,2.9606176003906586,239.41153254660225,6.0,1.0
494.7100000000005,206.0,2.9921745004087996,314.76230393084313,8.0,1.0
538.7630000000006,224.0,3.0041568321208016,354.66432288382504,9.0,1.0
420.6310000000003,176.0,2.9667713115344823,252.09367398188868,6.0,1.0
552.7900000000005,230.0,3.007734982296973,366.2450717430223,9.0,1.0
478.71100000000047,200.0,2.987702173790308,301.76226005674357,7.0,1.0
566.8170000000005,236.0,3.011131540611766,379.8941927109336,9.0,1.0
580.8440000000004,242.0,3.0143599890216595,391.610204182233,9.0,1.0
506.7650000000005,212.0,2.9963942128844434,326.19749519871567,7.0,1.0
550.8180000000004,230.0,3.007734982296973,364.4491277464471,8.0,1.0
638.9240000000002,266.0,3.02581981870765,444.9766371820717,10.0,1.0
771.0829999999999,320.0,3.0453283608307467,571.1843288416134,13.0,1.0
903.2419999999995,374.0,3.0592102986781513,699.9031927383858,16.0,1.0
1167.5599999999995,482.0,3.077651638996214,970.4066004060794,22.0,1.0
287.444,120.0,3.454348102233147,215.76752437420637,3.0,2.0
512.328,188.0,4.954041372352844,540.0380899285599,4.0,1.0
556.3810000000001,206.0,4.62916095835613,587.7438642398229,5.0,1.0
644.4870000000003,242.0,4.170038344535743,683.7370468237108,7.0,1.0
732.5930000000006,278.0,3.8826903312190666,780.7496011091263,9.0,1.0
441.47400000000016,178.0,2.785617298972617,494.75308894166426,11.0,9.0
646.8590000000004,264.0,1.7687977918923647,768.4028750279747,11.0,1.0
294.43499999999995,120.0,2.52996545329734,401.46676976531404,3.0,1.0
338.48800000000006,138.0,2.3200853037389293,445.70180725014154,4.0,1.0
382.54100000000017,156.0,2.160799697149798,490.4197553187026,5.0,1.0
426.5940000000003,174.0,2.043289413021044,535.6222894359663,6.0,1.0
470.6470000000004,192.0,1.9561026174863019,581.2983500666179,7.0,1.0
514.7000000000005,210.0,1.8903498654856778,627.4319979206768,8.0,1.0
558.7530000000006,228.0,1.839821810706727,674.0056817210309,9.0,1.0
602.8060000000005,246.0,1.800275620977806,721.001700753794,10.0,1.0
622.7490000000004,252.0,1.8763737710283714,810.9247659417994,13.0,8.0
297.39500000000004,120.0,2.0189902237398947,354.1861390833772,4.0,1.0
241.28699999999998,96.0,2.1952131994576,300.880754029113,4.0,1.0
283.412,116.0,1.8790733514134161,291.44657211298295,3.0,1.0
339.5200000000001,140.0,1.7845861565238814,343.775662495055,3.0,1.0
204.31,86.0,2.916821983653843,106.70576627330112,3.0,2.0
292.372,120.0,2.213730550942567,247.81862747335003,6.0,4.0
208.254,86.0,3.559412192882677,130.3707212896444,5.0,4.0
306.39900000000006,126.0,3.574480069410089,258.5483972832361,6.0,4.0
264.318,108.0,3.704013236494163,220.61317499160342,6.0,4.0
250.335,104.0,3.4101126895463403,164.9749778700883,5.0,4.0
250.291,102.0,3.747678709559013,208.1383367119596,6.0,4.0
236.30800000000002,98.0,3.45457018581874,153.3103483230645,5.0,4.0
292.37200000000007,120.0,3.6158304937564774,245.81862747335003,6.0,4.0
278.38900000000007,116.0,3.337473426722083,188.67513716767937,5.0,4.0
278.345,114.0,3.6593911849481255,233.17333144988254,6.0,4.0
264.362,110.0,3.3712281060891,176.76453872654685,5.0,4.0
236.264,96.0,3.787045739818523,195.74827580350737,6.0,4.0
222.281,92.0,3.5046381587690187,141.77443751081734,5.0,4.0
224.322,86.0,3.559412192882677,133.9803617640812,5.0,4.0
238.34900000000005,92.0,3.5046381587690187,145.38407798525415,5.0,4.0
320.426,132.0,2.598720492856872,285.8095962409194,6.0,4.0
320.426,132.0,2.434010818061945,285.8095962409194,6.0,4.0
320.426,132.0,2.285158245404391,285.8095962409194,6.0,4.0
320.426,132.0,2.5418417432753135,285.8095962409194,6.0,4.0
524.6040000000002,212.0,1.7771934265661922,619.9043807126353,12.0,7.0
464.66500000000013,184.0,2.3621238870859793,476.5454450826591,8.0,5.0
349.4680000000001,144.0,3.9913506571318744,328.20262795571136,6.0,5.0
335.4410000000001,138.0,4.050955968147217,314.94558572149543,6.0,5.0
321.41400000000004,132.0,4.1113767850059135,301.75725938896494,6.0,5.0
686.7450000000007,276.0,1.4964370998398513,913.6361808290027,17.0,10.0
848.8860000000011,340.0,1.2752022475568536,1204.2186527674746,22.0,13.0
524.6040000000002,212.0,1.7994731863138071,636.2182182096606,12.0,7.0
308.48400000000004,122.0,3.308266425457385,204.3125347203274,5.0,4.0
290.425,112.0,1.9255173156479009,259.8305191899585,5.0,2.0
252.376,98.0,3.45457018581874,156.9199887975013,5.0,4.0
234.317,88.0,2.1414034706987004,209.5990692052952,5.0,2.0
280.43000000000006,110.0,3.3712281060891,180.37417920098366,5.0,4.0
262.371,100.0,2.016178199540106,234.54551832721745,5.0,2.0
305.37100000000004,124.0,2.367435348117445,313.83935770173167,6.0,5.0
305.37100000000004,124.0,2.3626558365483596,311.83935770173167,6.0,5.0
320.426,132.0,2.27946647040611,296.36061832309275,6.0,4.0
482.5670000000001,196.0,1.8997949730005117,546.435114581496,11.0,7.0
644.7080000000005,260.0,1.5888287779602905,816.516869096127,16.0,10.0
305.415,126.0,2.157065661671521,264.4485318131262,6.0,4.0
291.38800000000003,120.0,2.213730550942567,251.71876200324016,6.0,4.0
349.4680000000001,144.0,4.00245106207249,328.20262795571136,6.0,5.0
511.6090000000002,208.0,2.6704100054478785,581.6707975220429,11.0,8.0
377.52200000000005,156.0,3.876736422847634,354.9210467895712,6.0,5.0
539.6630000000001,220.0,2.574124099672067,611.1870068599851,11.0,8.0
595.7710000000003,244.0,2.4020388134679367,670.6740040133443,11.0,8.0
623.8250000000003,256.0,2.3280400420529603,700.6450126399677,11.0,8.0
459.66800000000006,190.0,3.6889472993772485,473.34848376472064,6.0,5.0
621.8090000000003,254.0,2.3631637241553145,740.522422498209,11.0,8.0
405.576,168.0,3.7703332695848517,381.9073081210797,6.0,5.0
567.7170000000002,232.0,2.4841696846266688,640.8545443559027,11.0,8.0
287.444,120.0,3.3866236115217294,233.76187443019933,3.0,2.0
347.49600000000004,144.0,3.722037498285335,313.7842452534204,5.0,4.0
320.426,132.0,2.1063821202160034,273.3616457225209,6.0,4.0
482.5670000000001,196.0,1.8181065538839918,520.5705411934688,11.0,7.0
348.47999999999996,144.0,2.0209422988090378,299.23357270441835,6.0,4.0
649.8190000000005,264.0,1.5605042387119377,800.1138393261818,12.0,8.0
592.7670000000004,242.0,1.5866742123737532,676.8229177865271,11.0,7.0
754.9080000000007,306.0,1.3753730927074634,955.3046634044979,16.0,10.0
497.5820000000002,202.0,2.5803534268815866,552.9438452451786,11.0,9.0
525.6360000000002,214.0,2.4842443340424163,582.2660169528958,11.0,9.0
510.6210000000001,208.0,1.7431753353343242,549.5634098284536,11.0,7.0
469.5280000000002,190.0,2.6826556414878704,523.7744689669131,11.0,9.0
511.6090000000002,208.0,2.6471958001139657,581.6707975220429,11.0,8.0
539.6630000000001,220.0,2.5576733817054085,611.1870068599851,11.0,8.0
567.7170000000002,232.0,2.4728960986627375,640.8545443559027,11.0,8.0
306.399,126.0,2.157065661671521,260.54839728323606,6.0,4.0
308.44,120.0,2.213730550942567,251.71876200324016,6.0,4.0
234.33599999999993,98.0,2.828262412638549,105.58638780895902,4.0,1.0
290.444,122.0,2.8896766777949185,146.55586194967046,4.0,1.0
450.6570000000004,188.0,2.9779031597789904,277.65239886768137,7.0,1.0
482.6550000000005,200.0,2.987702173790308,305.0567521525266,9.0,1.0
554.7620000000005,230.0,3.007734982296973,367.8306268482162,10.0,1.0
252.24,82.0,0.0,96.75362619816539,0.0,0.0
280.294,94.0,0.0,118.19458546222222,0.0,0.0
235.843,94.0,0.0,118.19458546222222,0.0,0.0
308.34799999999996,106.0,0.0,140.34747096531262,0.0,0.0
263.89699999999993,106.0,0.0,140.34747096531262,0.0,0.0
336.40199999999993,118.0,0.0,163.13522496070172,0.0,0.0
291.9509999999999,118.0,0.0,163.13522496070172,0.0,0.0
364.45599999999996,130.0,0.0,186.49559987530685,0.0,0.0
300.284,98.0,2.5599982064013027e-06,248.3585493013016,0.0,0.0
314.31100000000004,104.0,2.8899976667519523e-06,261.05928730700595,0.0,0.0
328.33799999999997,110.0,3.239997015602847e-06,273.8503707227377,0.0,0.0
283.887,110.0,3.239997015602847e-06,273.8503707227377,0.0,0.0
375.33799999999997,110.0,3.239997015602847e-06,273.8503707227377,0.0,0.0
342.36499999999995,116.0,3.6099962389540584e-06,286.72951330189164,0.0,0.0
356.39199999999994,122.0,3.999995322005666e-06,299.6944800847012,0.0,0.0
311.9409999999999,122.0,3.999995322005666e-06,299.6944800847012,0.0,0.0
370.4189999999999,128.0,4.4099942491577666e-06,312.743099664719,0.0,0.0
384.4459999999999,134.0,4.839993004010474e-06,325.8732712636312,0.0,0.0
339.9949999999999,134.0,4.839993004010474e-06,325.8732712636312,0.0,0.0
368.04899999999986,146.0,5.759989927218255e-06,352.3702396864544,0.0,0.0
322.37499999999994,112.0,0.0,157.17595007788486,0.0,0.0
350.4289999999999,124.0,0.0,180.2570356672801,0.0,0.0
378.483,136.0,0.0,203.88392493231433,0.0,0.0
406.5370000000001,148.0,0.0,228.00980444190276,0.0,0.0
378.483,136.0,0.0,193.61926242582393,0.0,0.0
420.56400000000014,154.0,0.0,225.2277392351392,0.0,0.0
462.6450000000002,172.0,0.0,257.831943270353,0.0,0.0
311.94100000000003,122.0,3.999995992004201e-06,334.6794070289523,0.0,0.0
339.995,134.0,4.839993881808076e-06,361.3641358081729,0.0,0.0
368.049,146.0,5.759991038414533e-06,388.339080515553,0.0,0.0
265.8689999999999,106.0,0.0,108.78983721006222,1.0,2.0
264.861,105.0,0.0,108.78983721006222,2.0,2.0
263.85299999999995,104.0,0.0,108.78983721006222,1.0,1.0
406.5370000000001,148.0,0.0,206.00980444190273,0.0,0.0
462.64500000000027,172.0,0.0,251.60638078117037,0.0,0.0
377.5450000000001,148.0,0.0,348.1478911688089,3.0,1.0
391.5720000000001,154.0,0.0,361.4670526512528,3.0,1.0
244.332,86.0,0.0,214.70739051770622,3.0,0.0
272.38599999999997,98.0,0.0,240.13529613377523,3.0,0.0
256.33699999999993,98.0,0.0,240.13529613377523,3.0,0.0
267.43499999999995,106.0,0.0,240.13529613377523,3.0,1.0
288.49399999999997,98.0,0.0,240.13529613377523,3.0,0.0
288.385,104.0,0.0,254.80302513413508,4.0,0.0
272.33599999999996,104.0,0.0,254.80302513413508,4.0,0.0
325.51500000000004,130.0,0.0,317.05554381755724,4.0,0.0
437.7310000000004,178.0,0.0,410.6490132437442,4.0,0.0
316.439,116.0,0.0,280.89849070633994,4.0,0.0
288.385,104.0,0.0,254.80302513413508,4.0,0.0
332.438,122.0,0.0,295.7394922316218,5.0,0.0
376.49100000000004,140.0,0.0,337.4593368906387,6.0,0.0
564.7580000000005,218.0,0.0,524.1767168008671,9.0,0.0
564.7580000000005,218.0,0.0,538.1403689013198,9.0,0.0
246.26,84.0,0.0,262.2055940949168,5.0,0.0
274.31399999999996,96.0,0.0,289.0713826144564,5.0,0.0
302.368,108.0,0.0,316.08143227233745,5.0,0.0
332.35,118.0,0.0,407.82900448655226,7.0,0.0
360.404,130.0,0.0,436.40673600478453,7.0,0.0
444.56600000000026,166.0,0.0,551.0329672298398,7.0,0.0
444.5660000000003,166.0,0.0,522.922754564247,7.0,0.0
358.476,132.0,0.0,383.9318335714168,5.0,0.0
386.5300000000001,144.0,0.0,411.68948731522505,5.0,0.0
452.15399999999994,150.0,0.0,536.2546988024449,2.0,0.0
436.04599999999994,150.0,0.0,536.2546988024449,2.0,0.0
419.9969999999999,150.0,0.0,536.2546988024449,2.0,0.0
436.04599999999994,150.0,0.0,518.7449237981178,2.0,0.0
470.0039999999999,168.0,0.0,620.8833307737909,2.0,0.0
506.0589999999999,176.0,0.0,738.5924574214989,3.0,0.0
388.4580000000001,142.0,0.0,465.10368919434535,7.0,0.0
372.50300000000004,138.0,0.0,397.78508226332775,5.0,0.0
243.39099999999996,102.0,3.350094581809671,202.39889061249036,2.0,0.0
271.44499999999994,114.0,3.284541440518658,226.78882279004364,2.0,0.0
299.49899999999997,126.0,3.2372428042272885,251.6028811957292,2.0,0.0
327.55300000000005,138.0,3.202770196154535,276.8152387267899,2.0,0.0
299.49899999999997,126.0,3.338983194652152,251.6028811957292,2.0,0.0
327.55300000000005,138.0,3.35768643540542,276.8152387267899,2.0,0.0
355.60700000000014,150.0,3.3557220269552093,302.40234487085866,2.0,0.0
277.408,112.0,2.193635907002456,364.512570293707,2.0,0.0
305.462,124.0,2.0828557589474896,391.6814736150886,2.0,0.0
335.554,134.0,3.447075219087595,352.915550992749,3.0,0.0
363.60800000000006,146.0,3.387814901977575,380.0731388162585,3.0,0.0
