1,14,25,1,6.45,72
2,14,25,2,6.32,72
3,14,25,3,5.51,76
4,14,25,4,6.42,78
5,14,25,5,6.21,80
6,14,25,6,5.45,84
7,14,25,7,6.61,86
8,14,25,8,6.5,88
9,14,25,9,6.34,90
10,17,25,1,6.18,68
11,17,25,2,6.11,72
12,17,25,3,6.24,76
13,17,25,4,5.78,78
14,17,25,5,5.71,80
15,17,25,6,6.12,84
16,17,25,7,6.23,86
17,17,25,8,5.78,84
18,17,25,9,5.7,86
19,20,25,1,6.25,67
20,20,25,2,6.21,69
21,20,25,3,6.02,69
22,20,25,4,5.96,71
23,20,25,5,6.18,75
24,20,25,6,5.94,79
25,20,25,7,5.78,77
26,20,25,8,5.53,79
27,20,25,9,6.01,79
28,14,50,1,6.41,67
29,14,50,2,6.1,71
30,14,50,3,5.44,79
31,14,50,4,6.1,77
32,14,50,5,5.64,79
33,14,50,6,5.51,83
34,14,50,7,5.46,88
35,14,50,8,5.98,90
36,14,50,9,5.56,90
37,17,50,1,6.1,62
38,17,50,2,6.36,77
39,17,50,3,6.42,75
40,17,50,4,6.02,71
41,17,50,5,6.14,79
42,17,50,6,5.98,77
43,17,50,7,5.76,79
44,17,50,8,5.71,83
45,17,50,9,5.82,83
46,20,50,1,5.87,61
47,20,50,2,5.65,65
48,20,50,3,6.02,67
49,20,50,4,6.25,70
50,20,50,5,6.14,74
51,20,50,6,6.26,74
52,20,50,7,6.37,70
53,20,50,8,6.24,76
54,20,50,9,6.04,76
55,14,75,1,6.51,73
56,14,75,2,6.43,77
57,14,75,3,6.37,81
58,14,75,4,6.28,85
59,14,75,5,6.54,85
60,14,75,6,6.32,88
61,14,75,7,6.26,90
62,14,75,8,6.11,92
63,14,75,9,6.35,92
64,17,75,1,6.01,68
65,17,75,2,6.12,72
66,17,75,3,6.11,76
67,17,75,4,5.89,78
68,17,75,5,6.1,80
69,17,75,6,6.23,84
70,17,75,7,6.34,86
71,17,75,8,6.11,88
72,17,75,9,6.14,88
73,20,75,1,5.95,67
74,20,75,2,5.72,69
75,20,75,3,6.13,69
76,20,75,4,6.25,71
77,20,75,5,6.16,75
78,20,75,6,6.18,80
79,20,75,7,6.26,77
80,20,75,8,6.31,80
81,20,75,9,6.25,80